Model ID,Type,Base Model
black-forest-labs/FLUX.1-Kontext-dev,,
tencent/Hunyuan-A13B-Instruct,,
google/gemma-3n-E4B-it,,
bullerwins/FLUX.1-Kontext-dev-GGUF,quantized,black-forest-labs/FLUX.1-Kontext-dev
AIDC-AI/Ovis-U1-3B,finetune,AIDC-AI/Ovis2-2B
Comfy-Org/flux1-kontext-dev_ComfyUI,,
google/gemma-3n-E2B-it,,
unsloth/gemma-3n-E4B-it-GGUF,quantized,google/gemma-3n-E4B-it
THUDM/GLM-4.1V-9B-Thinking,finetune,THUDM/GLM-4-9B-0414
baidu/ERNIE-4.5-21B-A3B-PT,,
mit-han-lab/nunchaku-flux.1-kontext-dev,,
QuantStack/FLUX.1-Kontext-dev-GGUF,quantized,black-forest-labs/FLUX.1-Kontext-dev
google/gemma-3n-E4B,,
baidu/ERNIE-4.5-VL-424B-A47B-Base-PT,,
black-forest-labs/FLUX.1-Kontext-dev-onnx,,
baidu/ERNIE-4.5-VL-424B-A47B-Base-Paddle,,
google/gemma-3n-E2B,,
baidu/ERNIE-4.5-0.3B-PT,,
ByteDance/XVerse,finetune,black-forest-labs/FLUX.1-dev
baidu/ERNIE-4.5-300B-A47B-PT,,
baidu/ERNIE-4.5-VL-424B-A47B-PT,,
baidu/ERNIE-4.5-VL-28B-A3B-PT,,
tencent/Hunyuan-A13B-Instruct-GPTQ-Int4,quantized,tencent/Hunyuan-A13B-Instruct
baidu/ERNIE-4.5-300B-A47B-Base-PT,,
IntervitensInc/pangu-pro-moe-model,,
apple/DiffuCoder-7B-cpGRPO,finetune,apple/DiffuCoder-7B-Instruct
tencent/Hunyuan-A13B-Instruct-FP8,,
baidu/ERNIE-4.5-VL-28B-A3B-Base-PT,,
unsloth/gemma-3n-E2B-it-GGUF,quantized,google/gemma-3n-E2B-it
HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v2,finetune,Qwen/Qwen2-0.5B
unsloth/FLUX.1-Kontext-dev-GGUF,quantized,black-forest-labs/FLUX.1-Kontext-dev
llama-anon/not-flux-kontext-dev-clothes-remover,,
baidu/ERNIE-4.5-VL-28B-A3B-Paddle,,
orabazes/depth_lora_kontext,,
HelpingAI/Dhanishtha-2.0-preview,finetune,Qwen/Qwen3-14B-Base
nvidia/llama-nemoretriever-colembed-3b-v1,,
nari-labs/Dia-1.6B-0626,,
baidu/ERNIE-4.5-21B-A3B-Base-PT,,
baidu/ERNIE-4.5-300B-A47B-FP8-Paddle,,
baidu/ERNIE-4.5-VL-424B-A47B-Paddle,,
bullerwins/Hunyuan-A13B-Instruct-GGUF,quantized,tencent/Hunyuan-A13B-Instruct
baidu/ERNIE-4.5-VL-28B-A3B-Base-Paddle,,
baidu/ERNIE-4.5-0.3B-Base-PT,,
onnx-community/gemma-3n-E2B-it-ONNX,quantized,google/gemma-3n-E2B-it
Comfy-Org/Omnigen2_ComfyUI_repackaged,,
fal/Wojak-Kontext-Dev-LoRA,adapter,black-forest-labs/FLUX.1-Kontext-dev
calcuis/omnigen2-gguf,quantized,OmniGen2/OmniGen2
THUDM/GLM-4.1V-9B-Base,finetune,THUDM/GLM-4-9B-0414
baidu/ERNIE-4.5-300B-A47B-Base-Paddle,,
baidu/ERNIE-4.5-300B-A47B-2Bits-Paddle,,
drbaph/GlassPrism-kontext-LoRA,adapter,black-forest-labs/FLUX.1-Kontext-dev
baidu/ERNIE-4.5-0.3B-Paddle,,
svjack/Kontext_OmniConsistency_lora,,
baidu/ERNIE-4.5-300B-A47B-W4A8C8-TP4-Paddle,,
apple/DiffuCoder-7B-Instruct,finetune,apple/DiffuCoder-7B-Base
tencent/Hunyuan-A13B-Pretrain,,
6chan/flux1-kontext-dev-fp8,quantized,black-forest-labs/FLUX.1-Kontext-dev
baidu/ERNIE-4.5-21B-A3B-Paddle,,
baidu/ERNIE-4.5-21B-A3B-Base-Paddle,,
baidu/ERNIE-4.5-0.3B-Base-Paddle,,
