aisingapore/sea-lion-7b -> aisingapore/sea-lion-7b-instruct -> aisingapore/sea-lion-7b-instruct-gguf
CohereForAI/aya-101 -> linndfors/aya-101-for_gender_swapping
OuOSamaCute/my_model_v2 -> OuOSamaCute/my_model_x250
NewEden-Forge/Kyne-22b -> NewEden-Forge/Edens-Gate_Kyne-R2-22b-exl2
NewEden-Forge/Kyne-22b -> NewEden-Forge/Edens-Gate_Kyne-r1-22b-exl2
WasamiKirua/Samantha2.0-Qwen2.5-14B-ita-16bit -> WasamiKirua/Samantha2.0-Qwen2.5-14B-ita-16bit-Q8_0-GGUF
WasamiKirua/Samantha2.0-Phi4-ita-16bit -> WasamiKirua/Samantha2.0-Phi4-ita-16bit-Q8_0-GGUF
WasamiKirua/Samantha2.0-Phi4-ita-16bit -> WasamiKirua/Samantha2.0-Phi4-ita-16bit-Q4_K_M-GGUF
WasamiKirua/Samantha2.0-Phi3-Medium-ita-16bit -> WasamiKirua/Samantha2.0-Phi3-Medium-ita-16bit-Q8_0-GGUF
WasamiKirua/Samantha2.0-Qwen2.5-7B-ita-16bit -> WasamiKirua/Samantha2.0-Qwen2.5-7B-ita-16bit-Q8_0-GGUF
anup-zessta/viet_sing_merged_model_5 -> anup-zessta/Viet_sing_5_adapter_one_epoch_singapore_non_a4
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_8ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_9ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_10ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_11ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_12ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_13ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_14ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_15ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_16ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_17ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_18ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_19ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_20ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_1ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_1ep_42
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_1ep_55
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_1ep_66
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_cfda_1ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_cfda_1ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_cfda_1ep_42
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_cfda_1ep_55
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_cfda_1ep_66
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_2ep_42
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_2ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_2ep_55
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_2ep_66
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_cfda_2ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_cfda_2ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_cfda_2ep_42
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_1ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_1ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_cfda_2ep_55
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_1ep_55
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_1ep_42
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_1ep_66
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_2ep_55
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_2ep_42
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_2ep_66
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_cfda_2ep_66
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_3ep_55
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_3ep_42
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_3ep_66
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_3ep_42
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_3ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_3ep_55
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_3ep_66
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_2ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_3ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_4ep_42
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_4ep_55
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_4ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_5ep_55
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_5ep_42
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_5ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_6ep_55
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_6ep_42
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_6ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_7ep_55
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_7ep_42
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_7ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_8ep_55
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_8ep_42
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_8ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_9ep_55
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_9ep_42
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_9ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_10ep_55
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_10ep_42
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_10ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_11ep_55
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_11ep_42
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_11ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_12ep_55
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_12ep_42
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_12ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_13ep_55
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_13ep_42
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_13ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_14ep_55
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_14ep_42
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_14ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_15ep_55
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_15ep_42
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_15ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_4ep_66
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_5ep_66
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_6ep_66
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_7ep_66
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_8ep_66
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_9ep_66
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_10ep_66
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_11ep_66
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_12ep_66
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_13ep_66
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_14ep_66
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_15ep_66
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_2ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_4ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_5ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_6ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_GermanCredit_cfda_7ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_1ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_4ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_5ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_6ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_7ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_8ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_4ep_42
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_5ep_42
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_6ep_42
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_7ep_42
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_8ep_42
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_9ep_42
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_4ep_66
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_5ep_66
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_6ep_66
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_7ep_66
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_8ep_66
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_9ep_66
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_10ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_11ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_12ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_13ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_14ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_15ep_33
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_4ep_55
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_2ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_4ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_6ep_55
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_7ep_55
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_9ep_55
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_10ep_55
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_6ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_7ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_8ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_9ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_10ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_11ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_12ep_22
MinaMila/Phi3_unlearning_general_methode -> MinaMila/phi3_unlearned_Adult_13ep_22
cs2764/Qwen2.5-72B-Instruct-abliterated-h-novel -> cs2764/Qwen2.5-72B-Instruct-abliterated-h-novel-Q4_K_M-GGUF
TIILSE/DEI_Company_Model_Test_Lora -> TIILSE/DEI_Company_Model_Test_Lora-F32-GGUF
